Frame,Time (s),Point ID,X,Y,Vx,Vy,Ax,Ay
38,1.27,0,769,845,189.29,-107.81,5486.48,-3426.56
38,1.27,1,790,847,186.78,-112.96,5420.05,-3571.99
38,1.27,2,774,869,184.78,-109.10,5363.11,-3453.31
38,1.27,3,778,842,183.52,-108.62,5323.09,-3440.92
38,1.27,4,786,873,174.09,-104.82,5042.00,-3325.13
38,1.27,5,783,845,184.41,-111.41,5348.71,-3525.71
38,1.27,6,777,873,171.90,-115.29,4981.79,-3633.85
39,1.30,0,775,841,183.02,-103.30,5301.24,-3288.26
39,1.30,1,796,843,176.93,-103.24,5120.99,-3283.99
39,1.30,2,780,866,184.71,-109.74,5356.61,-3477.05
39,1.30,3,784,839,178.65,-106.09,5175.83,-3366.20
39,1.30,4,791,870,169.77,-111.01,4919.12,-3504.26
39,1.30,5,789,842,177.79,-107.26,5149.18,-3402.08
39,1.30,6,782,869,164.63,-114.32,4767.11,-3601.61
40,1.33,0,782,838,185.89,-108.65,5393.70,-3442.39
40,1.33,1,802,840,184.87,-105.07,5369.19,-3328.90
40,1.33,2,787,862,185.16,-106.00,5370.19,-3364.65
40,1.33,3,790,835,182.88,-110.85,5307.82,-3504.26
40,1.33,4,797,866,177.82,-105.75,5164.75,-3342.35
40,1.33,5,795,838,182.79,-103.54,5305.76,-3283.84
40,1.33,6,788,865,179.85,-105.48,5230.86,-3329.14
41,1.37,0,788,834,180.93,-103.42,5241.90,-3288.43
41,1.37,1,808,836,178.39,-103.01,5166.90,-3275.05
41,1.37,2,793,859,176.92,-108.64,5122.44,-3444.37
41,1.37,3,796,832,173.87,-102.29,5033.21,-3251.69
41,1.37,4,803,863,181.73,-105.45,5273.98,-3341.28
41,1.37,5,801,835,176.44,-107.22,5110.54,-3399.25
41,1.37,6,794,861,163.45,-113.25,4723.79,-3577.26
42,1.40,0,794,831,182.24,-102.87,5286.14,-3266.99
42,1.40,1,814,833,180.26,-106.41,5229.41,-3370.58
42,1.40,2,798,855,177.79,-107.94,5156.78,-3415.19
42,1.40,3,802,828,181.58,-98.66,5273.59,-3133.81
42,1.40,4,808,859,149.48,-118.16,4302.67,-3726.57
42,1.40,5,807,831,178.79,-102.37,5187.14,-3247.40
42,1.40,6,800,858,173.69,-110.64,5047.36,-3482.75
43,1.43,0,800,827,178.72,-102.09,5179.26,-3245.06
43,1.43,1,820,829,176.56,-99.24,5116.69,-3157.33
43,1.43,2,805,852,185.46,-102.31,5385.91,-3247.15
43,1.43,3,808,825,170.47,-110.34,4932.44,-3491.82
43,1.43,4,812,855,118.98,-111.12,3420.03,-3483.01
43,1.43,5,813,828,174.15,-105.15,5045.82,-3333.24
43,1.43,6,805,854,176.26,-107.14,5114.14,-3387.96
44,1.47,0,806,824,179.70,-100.50,5212.22,-3193.69
44,1.47,1,825,826,173.72,-104.21,5035.13,-3302.83
44,1.47,2,810,848,173.97,-102.11,5033.60,-3248.66
44,1.47,3,813,821,174.57,-95.08,5066.66,-3022.74
44,1.47,4,816,851,107.21,-108.76,3097.26,-3381.70
44,1.47,5,819,824,171.58,-100.07,4973.11,-3176.22
44,1.47,6,810,850,144.73,-112.84,4165.76,-3561.31
45,1.50,0,812,821,178.57,-99.92,5177.40,-3177.32
45,1.50,1,831,823,178.34,-96.51,5176.34,-3069.17
45,1.50,2,816,845,170.19,-103.80,4931.76,-3288.04
45,1.50,3,819,818,178.97,-95.07,5194.45,-3026.57
45,1.50,4,821,848,167.19,-106.79,4908.43,-3311.04
45,1.50,5,825,821,178.97,-92.47,5197.50,-2945.73
45,1.50,6,816,847,162.31,-107.31,4724.63,-3364.06
46,1.53,0,818,817,176.29,-96.19,5110.03,-3064.13
46,1.53,1,837,819,167.59,-96.36,4849.28,-3069.28
46,1.53,2,822,841,176.77,-96.28,5132.91,-3058.72
46,1.53,3,825,815,168.04,-103.16,4862.22,-3273.76
46,1.53,4,827,845,182.37,-96.51,5304.06,-3062.41
46,1.53,5,830,818,168.96,-104.64,4889.96,-3318.09
46,1.53,6,822,844,181.34,-94.81,5277.90,-3006.67
47,1.57,0,823,814,173.06,-91.64,5015.52,-2925.56
47,1.57,1,843,816,168.78,-92.92,4895.96,-2955.20
47,1.57,2,828,838,170.35,-96.15,4933.68,-3061.12
47,1.57,3,831,812,176.98,-87.40,5141.49,-2789.98
47,1.57,4,833,841,176.95,-97.19,5126.16,-3098.09
47,1.57,5,836,815,173.88,-89.37,5047.34,-2850.01
